location,job_count
"Toronto, Ontario",174
Canada,51
"Mississauga, Peel region",15
"Ottawa, Ottawa region",13
"Greater Vancouver, British Columbia",12
"Calgary, Calgary region",11
"Montréal, Québec",11
"Ontario, Canada",10
"Markham, York region",8
"Edmonton, Edmonton region",6
"Vancouver, Greater Vancouver",5
"Waterloo region, Ontario",5
"Etobicoke, Toronto",5
"King and Spadina, City of Toronto",4
"Church and Wellesley, City of Toronto",3
"Brampton, Peel region",3
"Saint John, Saint John region",3
"North Vancouver, Greater Vancouver",3
"Winnipeg, Winnipeg region",3
"London, Middlesex",3
"Central Bay Street, City of Toronto",3
"Pickering, Durham region",2
"Anjou, Montréal",2
"Bas-Saint-Laurent, Québec",2
"Sydney, Cape Breton",2
"Oshawa, Durham region",2
"Québec, Canada",2
"North York, Toronto",2
"Waterloo, Waterloo region",2
"Roselawn, City of Toronto",2
"Regina region, Saskatchewan",2
"Saskatoon, Saskatchewan",2
"Montréal East, Montréal",2
"Lawrence Park, City of Toronto",2
"Halifax, Halifax region",2
"Kitchener, Waterloo region",2
"Commerce Court, City of Toronto",2
"Grange Park, City of Toronto",2
"East York, Toronto",2
"Burnaby, Greater Vancouver",2
"British Columbia, Canada",1
"Bolton, Peel region",1
"Bells Corners, Ottawa",1
"Baie-d'Urfé, Montréal",1
"Abbotsford, Fraser Valley",1
"Nepean, Ottawa region",1
"Manitoba, Canada",1
"Milton, Halton",1
"Clover Bar, Edmonton",1
"Cambridge, Waterloo region",1
"Guelph, Wellington region",1
"Burlington, Halton",1
"Hamilton region, Ontario",1
"Highfield, Calgary",1
"Harbord, City of Toronto",1
"Halifax region, Nova Scotia",1
"New Brunswick, Canada",1
"Scarborough, Toronto",1
"Regent Park, City of Toronto",1
"Québec City, Québec",1
"New Westminster, Greater Vancouver",1
"Saint John region, New Brunswick",1
"Summerhill, City of Toronto",1
"Stellarton, Pictou region",1
"Union Station, City of Toronto",1
"Trinity, City of Toronto",1
"Tiverton, Bruce region",1
"Thornhill, York region",1
"Verdun, Montréal",1
"Varennes, Lajemmerais",1
"Westmount, Montréal",1
"Woodbridge, York region",1
