id,title,company,location,salary_min,salary_max,salary_mid,query,month
5672917904,Data Analyst,"Canadian Tire Corporation, Limited","Toronto, Ontario",,,,data analyst,2026-03
5672917886,Data Analyst,Canadian Tire,"Toronto, Ontario",,,,data analyst,2026-03
5672917908,Data Analyst,Canadian Tire Corporation,"Toronto, Ontario",,,,data analyst,2026-03
5646943292,Data Analyst,Initiate,"Toronto, Ontario",140000.0,,140000.0,data analyst,2026-02
5644001179,Data Analyst,Vretta,"Toronto, Ontario",,,,data analyst,2026-02
5648925676,Data Analyst,Emergitel,"Trinity, City of Toronto",,,,data analyst,2026-02
5081281067,Data Analyst,Theapplabb,"Central Bay Street, City of Toronto",,,,data analyst,2025-03
5641500399,Data Analyst,Konrad,"Toronto, Ontario",75000.0,100000.0,87500.0,data analyst,2026-02
5185880064,Data Analyst,Insight Global,"Toronto, Ontario",,,,data analyst,2025-05
5670496248,Data Analyst,Independent Mechanical Supply Inc.,"Toronto, Ontario",,,,data analyst,2026-03
5662065001,Data Analyst,Canadian Tire Corporation,"Toronto, Ontario",53000.0,88000.0,70500.0,data analyst,2026-03
5646435700,Data Analyst,Hive.Co,"Toronto, Ontario",80000.0,110000.0,95000.0,data analyst,2026-02
5665738633,Data Analyst,Ensemble,"Toronto, Ontario",,,,data analyst,2026-03
5615192487,Data Analyst,Lyft,"Toronto, Ontario",,,,data analyst,2026-02
5667939157,Data Analyst Intern,Jonas Software,"Toronto, Ontario",41600.0,47840.0,44720.0,data analyst,2026-03
5576218504,"Data Analyst, Growth",Hellofresh,"Toronto, Ontario",95000.0,110000.0,102500.0,data analyst,2026-01
5636367229,Senior Data Analyst,Konrad,"Toronto, Ontario",105000.0,115000.0,110000.0,data analyst,2026-02
5648994614,"Data Analyst, Finance",7Shifts,"Toronto, Ontario",,,,data analyst,2026-02
5665756867,Data Analyst Iii,Mercor,"Toronto, Ontario",,,,data analyst,2026-03
5262971415,Senior Data Analyst,Kimaru Talent,"Toronto, Ontario",,,,data analyst,2025-06
5648927111,Product Data Analyst,Gs1 Canada,"Lawrence Park, City of Toronto",65000.0,90000.0,77500.0,data analyst,2026-02
5595944615,Senior Data Analyst,Felix,"Toronto, Ontario",85000.0,115000.0,100000.0,data analyst,2026-01
5650441083,Lead Data Analyst,Tripledot,"Toronto, Ontario",90000.0,110000.0,100000.0,data analyst,2026-03
5658737746,Product Data Analyst,Docebo,"Toronto, Ontario",99400.0,132500.0,115950.0,data analyst,2026-03
5664477686,Senior Data Analyst,Expleo,"Summerhill, City of Toronto",,,,data analyst,2026-03
5657977208,"Manager, Data Analyst",Changemakers,"King and Spadina, City of Toronto",64000.0,90000.0,77000.0,data analyst,2026-03
5657399946,"Manager, Data Analyst",Believeco Partners Ltd,"Toronto, Ontario",,,,data analyst,2026-03
5625674010,"Data Analyst, Pricing",Lyft,"Toronto, Ontario",,,,data analyst,2026-02
5674597911,Data Analyst Ii,Uken Games,"Toronto, Ontario",80000.0,90000.0,85000.0,data analyst,2026-03
4801364754,Data Analyst / Business Analyst (Data),Dallas It,"Toronto, Ontario",,,,data analyst,2024-07
5672847041,Data Analyst (Etl / Coding),Recrute Action,"Church and Wellesley, City of Toronto",72800.0,89440.0,81120.0,data analyst,2026-03
5655444587,Data Analyst & It Support,Tayco,"Etobicoke, Toronto",50000.0,60000.0,55000.0,data analyst,2026-03
5613284018,"Compliance Data Analyst, Temporary",Aviso Wealth,"Commerce Court, City of Toronto",68000.0,78000.0,73000.0,data analyst,2026-02
5616026992,"Senior Associate, Data Analyst",Capital One,"Toronto, Ontario",,,,data analyst,2026-02
5662800446,Intern - Bi/Data Analyst,Kensington,"Toronto, Ontario",,,,data analyst,2026-03
5657400875,Data Analyst & It Support,Tayco,"Etobicoke, Toronto",,,,data analyst,2026-03
4801364839,"Big Data Analyst, Insurtech",Fintech Recruiters,"Toronto, Ontario",,,,data analyst,2024-07
5626454311,Bi Developer / Data Analyst,Kensington,"Toronto, Ontario",,,,data analyst,2026-02
5552056954,Lead Financial Data Analyst,Simcorp,"Toronto, Ontario",,,,data analyst,2025-12
5640467517,Data Analyst - Player Success,Zynga,"Toronto, Ontario",,,,data analyst,2026-02
5664826813,Sr. It Data Analyst,Td Bank,"Toronto, Ontario",,,,data analyst,2026-03
5657400829,"Compliance Data Analyst, Temporary",Aviso Wealth,"Toronto, Ontario",,,,data analyst,2026-03
5659647309,"Data Analyst – Sql, Data Pipelines & Ai",Recrute Action,"Church and Wellesley, City of Toronto",104000.0,118560.0,111280.0,data analyst,2026-03
5668963162,"Data Analyst - Tableau, Power Bi",Astra North Infoteck Inc.,"Toronto, Ontario",10000.0,,10000.0,data analyst,2026-03
5513772651,Staff Product Data Analyst (Hybrid),Big Viking Games,"Toronto, Ontario",,,,data analyst,2025-11
5670369810,"Senior Data Analyst, 3D Design Data",Autodesk,"Toronto, Ontario",,,,data analyst,2026-03
5565034086,Data Analyst - Mapping Level 2,Poly Services Group,"Scarborough, Toronto",,,,data analyst,2026-01
5673548829,"Data Analyst, Ontario & Atlantic Tax",Kpmg,"Toronto, Ontario",,,,data analyst,2026-03
5643381491,Staff Product Data Analyst (Hybrid),Big Viking Games,"Toronto, Ontario",,,,data analyst,2026-02
5646625654,"Financial Data Analyst, Payments Health",Stripe,"Toronto, Ontario",,,,data analyst,2026-02
5658158554,Data Analyst,Bayshore Healthcare,"Markham, York region",,,,data analyst,2026-03
5672920376,Business Data Analyst,Reyes Holdings,"Mississauga, Peel region",,,,data analyst,2026-03
5672920744,Senior Bi/Data Analyst,Iko,"Mississauga, Peel region",,,,data analyst,2026-03
5672920710,Senior Bi/Data Analyst,Iko,"Mississauga, Peel region",,,,data analyst,2026-03
5649066917,Data Analyst,Versabank,"London, Middlesex",,,,data analyst,2026-02
5650423213,Data Analyst,Versabank,"London, Middlesex",,,,data analyst,2026-03
5654093435,Data Analyst,407 International,"Ontario, Canada",65000.0,90000.0,77500.0,data analyst,2026-03
5652842605,Data Analyst,Tangam Systems,"Waterloo region, Ontario",,,,data analyst,2026-03
5673514120,Data Analyst,Co-Operators Career,"Guelph, Wellington region",60574.0,100956.0,80765.0,data analyst,2026-03
5636442293,Data Analyst,Maxon Computer,"Waterloo region, Ontario",,,,data analyst,2026-02
5655988891,Data Analyst,Stanley Black And Decker,"Mississauga, Peel region",,,,data analyst,2026-03
5672920733,Data Management Analyst,Iko,"Mississauga, Peel region",,,,data analyst,2026-03
5647695076,Icqa Data Analyst,"Amazon Canada Fulfillment Services, Ulc.","Cambridge, Waterloo region",,,,data analyst,2026-02
5666261193,Marketing Data Analyst,Macdonald Search Group,"Ottawa, Ottawa region",92000.0,102000.0,97000.0,data analyst,2026-03
5619922430,Payroll Data Analyst,Carepartners,"Waterloo region, Ontario",,,,data analyst,2026-02
5662691766,Lead Data Analyst,Green Brick Labs,"Waterloo region, Ontario",,,,data analyst,2026-03
5674549573,Logistics Data Analyst,Enercare,"Markham, York region",69136.0,110618.0,89877.0,data analyst,2026-03
5634171855,Business Data Analyst,Reyes Holdings Llc,"Mississauga, Peel region",,,,data analyst,2026-02
5655407410,Senior Data Analyst,Co-Operators,"Burlington, Halton",,,,data analyst,2026-03
5635708803,Business Data Analyst,Reyes Holdings,"Mississauga, Peel region",,,,data analyst,2026-02
4962287616,Business Data Analyst,Rideco,"Waterloo, Waterloo region",80000.0,90000.0,85000.0,data analyst,2024-12
5623051915,Senior Data Analyst,Textnow,"Ontario, Canada",,,,data analyst,2026-02
5541634861,Fp&A Data Analyst,Dillon Consulting Limited,"London, Middlesex",,,,data analyst,2025-12
5671226456,Business Data Analyst,Mckesson,"Mississauga, Peel region",,,,data analyst,2026-03
5672920835,Payroll Data Analyst,Sobeys,"Calgary, Calgary region",,,,data analyst,2026-03
5672920753,Payroll Data Analyst,Sobeys,"Stellarton, Pictou region",,,,data analyst,2026-03
5673674675,Data Analyst,Ssense,"Montréal, Québec",,,,data analyst,2026-03
5558646828,Data Analyst,Fireno,Canada,54080.0,58240.0,56160.0,data analyst,2025-12
5615854538,Data Analyst,Layerzero Labs,"Greater Vancouver, British Columbia",,,,data analyst,2026-02
5674451232,Data Analyst,Cgi,"Halifax region, Nova Scotia",60000.0,120000.0,90000.0,data analyst,2026-03
5658791218,Data Analyst,Amy Jensen,"Greater Vancouver, British Columbia",,,,data analyst,2026-03
5658791211,Data Analyst,Amy Jensen,"Greater Vancouver, British Columbia",,,,data analyst,2026-03
5675084970,Data Analyst,Ssense,"Montréal, Québec",,,,data analyst,2026-03
5570696046,Data Analyst,The Csl Group Inc,"Westmount, Montréal",,,,data analyst,2026-01
4801371680,Data Analyst,Central Business Solutions,"Verdun, Montréal",,,,data analyst,2024-07
5609227776,Data Analyst,Bird Construction,"Calgary, Calgary region",,,,data analyst,2026-02
5657891543,Data Analyst,Vetpartners,Canada,,,,data analyst,2026-03
5661434661,Data Analyst,Actalent,"North Vancouver, Greater Vancouver",,,,data analyst,2026-03
5664125203,Data Analyst,University Of British Columbia,"Greater Vancouver, British Columbia",6251.0,8986.0,7618.5,data analyst,2026-03
5626385993,Data Analyst,Akamai,Canada,,,,data analyst,2026-02
5627217486,Data Analyst,"Akamai Technologies, Inc.",Canada,,,,data analyst,2026-02
5641554437,Data Analyst,Agrifoods International Cooperative Ltd,"Burnaby, Greater Vancouver",,,,data analyst,2026-02
5661284538,Data Analyst,Aston Carter,"Calgary, Calgary region",,,,data analyst,2026-03
5648975872,Data Analyst,Optrust,Canada,73792.0,85720.0,79756.0,data analyst,2026-02
5674607887,Data Analyst,Sun Life,Canada,,,,data analyst,2026-03
5660122797,Data Analyst,Aston Carter,"Calgary, Calgary region",,,,data analyst,2026-03
5645940248,Data Analyst,Hive.Co,Canada,80000.0,110000.0,95000.0,data analyst,2026-02
5660112031,Data Analyst,Nfi Parts,"Winnipeg, Winnipeg region",,,,data analyst,2026-03
5672917952,Category Business Analyst ( Evergreen),Canadian Tire,"Toronto, Ontario",,,,business analyst,2026-03
5655725767,Business Analyst,Mevotech,"Roselawn, City of Toronto",,,,business analyst,2026-03
5601914604,Business Analyst,Prophix,"Etobicoke, Toronto",70000.0,85000.0,77500.0,business analyst,2026-01
5119983359,Business Analyst,Worldhire,"Toronto, Ontario",,,,business analyst,2025-03
5617894278,Business Analyst,Hirevouch,"Commerce Court, City of Toronto",,,,business analyst,2026-02
5642209380,Business Analyst,Hirevouch,"Toronto, Ontario",,,,business analyst,2026-02
5645786844,Business Analyst,Insight Global,"Toronto, Ontario",,,,business analyst,2026-02
5590648224,Business Analyst,Kye Pharmaceuticals,"North York, Toronto",65000.0,95000.0,80000.0,business analyst,2026-01
5668465444,Business Analyst,Kye Pharmaceuticals,"Toronto, Ontario",,,,business analyst,2026-03
5641498832,Business Analyst,Virtusa,"Toronto, Ontario",,,,business analyst,2026-02
5650516991,Business Analyst,Coca-Cola Canada Bottling Limited,"Toronto, Ontario",,,,business analyst,2026-03
5665977074,Business Analyst,Humber River Health,"Toronto, Ontario",,,,business analyst,2026-03
5547395987,Business Analyst,Momentum Financial Services Group,"Toronto, Ontario",,,,business analyst,2025-12
5657874964,Business Analyst,Mevotech,"Roselawn, City of Toronto",70000.0,75000.0,72500.0,business analyst,2026-03
5657398156,Business Analyst,Mevotech,"Toronto, Ontario",70000.0,75000.0,72500.0,business analyst,2026-03
5500612644,Business Analyst,Vretta,"Toronto, Ontario",,,,business analyst,2025-11
5634927413,Business Analyst,Releady,"Toronto, Ontario",,,,business analyst,2026-02
5669970460,Business Analyst,Rakuten,"Toronto, Ontario",,,,business analyst,2026-03
5672900389,Business Analyst,Tekstaff It Solutions,"Toronto, Ontario",124800.0,216320.0,170560.0,business analyst,2026-03
5648439684,Business Analyst,Prophix,"Etobicoke, Toronto",,,,business analyst,2026-02
5672449540,Business Analyst,Bmo,"Toronto, Ontario",,,,business analyst,2026-03
4801412808,Business Analyst,Suag Center,"King and Spadina, City of Toronto",,,,business analyst,2024-07
5638518027,Business Analyst,Amynta Agency,"Toronto, Ontario",,,,business analyst,2026-02
4330094488,Business Analyst,Insight Global,"Toronto, Ontario",,,,business analyst,2023-09
5664014734,Business Analyst,Virtusa,"Toronto, Ontario",,,,business analyst,2026-03
5580751716,Business Analyst,Virtusa,"Toronto, Ontario",,,,business analyst,2026-01
5669134492,Senior Business Analyst,Vdart Inc,"Regent Park, City of Toronto",116480.0,120640.0,118560.0,business analyst,2026-03
5671778715,Sr. Business Analyst,Krissilas Group Inc,"Toronto, Ontario",156000.0,187200.0,171600.0,business analyst,2026-03
5595723594,Lead Business Analyst,Virtusa,"Toronto, Ontario",,,,business analyst,2026-01
5655407034,Sr. Business Analyst,Aecon Group Inc.,"Toronto, Ontario",,,,business analyst,2026-03
5651689279,Senior Business Analyst,Raise,"Toronto, Ontario",,,,business analyst,2026-03
5667915648,"Business Analyst, Investly",Fidelity International,"Toronto, Ontario",,,,business analyst,2026-03
5120006969,Business Analyst - Payments,Worldhire,"Toronto, Ontario",,,,business analyst,2025-03
5646461307,Iam Business Analyst,Releady,"Toronto, Ontario",,,,business analyst,2026-02
5672905288,Rq10047 - Business Analyst,Flexstaf It,"Toronto, Ontario",,,,business analyst,2026-03
5662096278,Senior Business Analyst,Td,"Toronto, Ontario",,,,business analyst,2026-03
5517922935,Senior Business Analyst,Choice Properties General Partnership,"Toronto, Ontario",78120.0,107415.0,92767.5,business analyst,2025-11
5628360003,Senior Business Analyst,Releady,"Toronto, Ontario",,,,business analyst,2026-02
4801359829,"Business Analyst, Ca",Lifescience Dynamics,"Toronto, Ontario",,,,business analyst,2024-07
5665024202,Senior Business Analyst,Releady,"Toronto, Ontario",,,,business analyst,2026-03
